frame.number	frame.protocols	udp.srcport	udp.dstport	stun.type	stun.type.method	stun.type.class	stun.channel	stun.length
40	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
41	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
42	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
43	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
44	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
45	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
46	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
47	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
48	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
49	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
50	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
51	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
52	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
53	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
54	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
55	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
56	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
57	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
58	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
59	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
60	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
61	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
62	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
63	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
64	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
65	eth:ethertype:ipv6:udp:stun	56880	3478	0x0001	0x0001	0x0000		0
66	eth:ethertype:ipv6:udp:stun	3478	56880	0x0101	0x0001	0x0010		24
67	eth:ethertype:ip:udp:stun	38123	40003	0x0003	0x0003	0x0000		8
68	eth:ethertype:ip:udp:stun	40003	38123	0x0113	0x0003	0x0011		84
69	eth:ethertype:ip:udp:stun	38123	40003	0x0003	0x0003	0x0000		116
70	eth:ethertype:ip:udp:stun	40003	38123	0x0103	0x0003	0x0010		56
71	eth:ethertype:ip:udp:stun	38123	40003	0x0008	0x0008	0x0000		120
72	eth:ethertype:ip:udp:stun	38123	40003	0x0008	0x0008	0x0000		120
73	eth:ethertype:ip:udp:stun	40003	38123	0x0118	0x0008	0x0011		92
74	eth:ethertype:ip:udp:stun	38123	40003	0x0008	0x0008	0x0000		120
75	eth:ethertype:ip:udp:stun	40003	38123	0x0118	0x0008	0x0011		92
76	eth:ethertype:ip:udp:stun	40003	38123	0x0108	0x0008	0x0010		24
77	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		116
78	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		116
79	eth:ethertype:ip:udp:stun:data	40003	38123	0x0017	0x0007	0x0001		112
80	eth:ethertype:ip:udp:stun	38123	40003	0x0008	0x0008	0x0000		120
81	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		80
82	eth:ethertype:ip:udp:stun	40003	38123	0x0108	0x0008	0x0010		24
83	eth:ethertype:ip:udp:stun:data	38123	40003	0x0016	0x0006	0x0001		116
